Folder	Index	∆-ML_RE	PM6_RE	CC_RE	DFT_RE
G2RC	0	-20.878800011298154	26.30483759946999	6.57413680148602	5.854954961905605
G2RC	1	-15.128039797971724	8.02167180057	-7.439695397741161	-2.801004587090574
G2RC	2	31.201929079252295	-40.2821113539	-9.025275250300183	-16.13516518668621
G2RC	3	-0.2990995362633839	-15.075669033609998	-14.609801956175943	-23.19877881501452
G2RC	4	-22.501612286738236	2.8154130374000026	-19.86979261635861	-21.16854330082424
G2RC	5	7.270534775030683	-33.68806146527001	-27.158618994086282	-32.820247513009235
G2RC	6	-57.97216504190874	41.386500160989996	-14.925431882293196	-21.251657090513618
G2RC	7	-29.552771781054616	-10.12672379264	-40.29355878465867	-44.50420239386585
G2RC	8	-75.8015570743737	32.52061262713	-43.807597175386036	-48.455825974277104
G2RC	9	-58.45815273305925	-17.827281785070003	-82.12697457546892	-75.76660770479066
G2RC	10	3.3835485062154476	-102.03309733367001	-99.28684624144807	-106.18846165949071
G2RC	11	-2.591484159522224	-136.49216078691	-141.06953497056384	-152.55756444498547
BH76RC	0	-2.420544958054961	-12.437398299560002	-13.989180097094504	-12.31278411421954
FH51	0	9.3340032438864	-163.81370503948997	-156.6526314355433	-151.49734648579033
FH51	1	31.693306056316942	-169.55253683944	-151.9831012833747	-146.37919419707032
FH51	2	5.973457749758381	-95.67743027442998	-88.3058544692467	-87.55518297071103
FH51	3	9.47996356736985	-83.87442119124	-73.24668550959905	-74.49209172013798
FH51	4	-89.5076562379545	47.61065551971001	-41.91632433849736	-48.18356207056786
FH51	5	5.5035290501546115	-73.3113390488	-70.20225236820988	-66.41728760593105
FH51	6	7.843965904205106	-67.92827236533	-55.83576366180205	-53.83526287207496
FH51	7	0.6137921959743835	-57.22539735318	-55.668722032685764	-56.05401201939094
FH51	8	-0.3753370901395101	-51.01499320913	-52.28110118964105	-56.61333339411067
FH51	9	-29.39388463718933	-8.609129779350013	-38.11399010641617	-41.14987918434781
FH51	10	-28.67278210070799	-7.435553660079989	-36.71912389685167	-38.95249134868209
FH51	11	-28.50105521826481	-6.577888809909993	-35.23599670470867	-37.54295840670238
FH51	12	1.6205367318470962	-38.998661576580005	-38.927133583056275	-41.25279075669823
FH51	13	-33.012131110881455	4.00182946579001	-28.825250991882058	-31.744781686691567
FH51	14	-3.730956860410515	-26.687434073100004	-30.728418640996097	-37.56887424614979
FH51	15	-36.77186129099573	13.053168145270007	-23.19430269431905	-25.297514426580165
FH51	16	0.5991665385663509	-21.82825107929	-22.24672108894447	-24.040296423016116
FH51	17	-26.90055122069316	11.82439806794	-13.77920599040226	-14.059944774839096
FH51	18	9.154766287014354	-26.610655112640003	-17.94248020494706	-18.54121726984158
FH51	19	-24.298375401820522	12.15828530859001	-13.11791392811574	-16.687109379447065
FH51	20	3.012896360945888	-17.842940136170007	-18.634348714491352	-20.52948886435479
FH51	21	-1.5513549393217545	-14.06136302019	-14.885621850640746	-23.502108057087753
FH51	22	10.520625235832995	-24.44609216203	-13.26345818626578	-19.109006607090123
FH51	23	-10.857807367341593	-3.969650285930001	-18.63285898041795	-19.51298514715745
FH51	24	-0.44594970293110237	-14.397390312359999	-13.542967824731022	-14.236130050878273
FH51	25	-3.9555275407619774	-9.87846859196	-13.412023422366474	-13.016019341477659
FH51	26	-1.1668100896058604	-6.359638146220004	-6.454185530135874	-10.4939132790023
FH51	27	8.601283559488365	-19.296623171200004	-12.233286273665726	-10.655166622222168
FH51	28	-20.641398367617512	11.964061796609997	-7.548692741547711	-4.049726955068763
FH51	29	8.914829727058532	-12.838835528489998	-4.676254710648209	-11.189266290573869
FH51	30	-4.508227046724642	-9.139860250219982	-12.630314258509316	-13.406398868828546
FH51	31	-5.397421178146033	0.5515198722200001	-2.56705175654497	-2.8686514311120845
FH51	32	-0.9847808540216647	-4.766153017120004	-7.137622974725673	-5.634105334727792
FH51	33	-0.8593453397625126	8.99682732406	-1.347164737933781	-2.9453335358412005
FH51	34	-0.9689095265930519	-3.2765595486099954	-3.6618218622752465	-2.3799771235790104
FH51	35	1.2059173088055104	-4.671319678050011	-2.6089003718225285	-2.75294797756942
FH51	36	2.196056425003917	-4.476468909589997	-2.640364663777291	-3.084097889397526
FH51	37	-20.45651138899848	25.86814486662	6.129471915483009	4.8277233140252065
FH51	38	-0.17172688244318124	-0.8576648501699964	-1.4831271921430016	-1.4095329419797054
FH51	39	0.9282863543485291	-1.373841587049995	-1.3201258326880634	-0.7470117337070405
FH51	40	5.967587747174548	-6.7337320660200035	-3.0777792028093245	-2.172262985142879
FH51	41	-1.3415290822158568	-1.4711424424200032	-2.026910132408375	1.3936716549214907
FH51	42	6.149628383747768	-6.772822597609995	-2.8411674505623523	-1.952384221891407
TAUT15	0	5.465113341488177	2.6680008463300027	2.2435234722215682	2.025072178686969
TAUT15	1	1.9590916903398465	5.61420377808	4.018617800989887	4.007437876687618
TAUT15	2	1.067830377171049	-11.608096050299995	-6.505286178435199	-8.753548665583367
TAUT15	3	-0.23281989738461562	1.1768369305300013	3.538904959190404	3.320096221723361
TAUT15	4	4.163562906789593	3.4841814434900087	13.394796930049779	13.997274473018479
TAUT15	5	6.200515260541579	-5.651684658850002	0.8959390258823987	-0.753330420324346
TAUT15	6	7.093512709107017	-8.74263163554	0.20676402939716354	-1.5210024143161718
TAUT15	7	5.416809480957454	-4.902694299930005	1.8948426642164122	0.7939568078436423
TAUT15	8	5.368661999469623	-8.23206330954001	-0.23358155001187697	-1.7907227007090114
TAUT15	9	5.756746623374056	-6.05196192451001	-0.8225707725505345	-2.2355144215980545
TAUT15	10	-0.018561845528893173	3.7894777803199986	2.4705049926415086	2.785858187940903
TAUT15	11	1.5318974925903603	0.39140573743000573	1.6531183104088996	2.4435006787534803
TAUT15	12	0.7200854530092329	-0.4333166170899858	0.6798514746478759	0.5845177140145097
DC13	0	-6.1598411943996325	5.638364683010003	-0.8992159797635395	0.7594899866962805
DC13	1	832.4793960559764	-89.86682372931989	-9.274814943084493	-25.39471612003399
DC13	2	-30.346197847946314	16.924166207089996	-13.248641558020608	-12.59204700103146
DC13	3	-7.869278344092891	-2.02949295322	-14.466845131013542	-12.700638473033905
DC13	4	-1.4131870999117382	-14.233136746019994	-17.432391545677092	-24.23036666685948
DC13	5	-15.903150889731478	-16.34029650435002	-26.46578423277242	-9.368878048146144
DC13	6	5.742346593760885	-36.53142431347001	-32.53248437846196	-33.46243361965753
DC13	7	48.47743752080714	70.57864084752002	110.4370565918216	103.07474204403115
DC13	8	14.834411710791755	-59.02782346064	-57.249168528884184	-69.87834588508122
DC13	9	26.072990729793673	-49.997938336429996	-50.93914360294002	-62.23461456235964
