Folder	Index	∆-ML_RE	R2S_RE	CC_RE	DFT_RE
G2RC	0	-0.29458550070292233	6.06418420150294	6.57413680148602	5.854954961905605
G2RC	1	-8.410043608806504	1.22747866694408	-7.439695397741161	-2.801004587090574
G2RC	2	10.465670707811483	-19.696303159551462	-9.025275250300183	-16.13516518668621
G2RC	3	7.600719111598579	-22.26166916434886	-14.609801956175943	-23.19877881501452
G2RC	4	1.189707120015811	-20.788423567835707	-19.86979261635861	-21.16854330082424
G2RC	5	6.162625369401795	-33.41077489759482	-27.158618994086282	-32.820247513009235
G2RC	6	6.6552032217641965	-22.617185223090928	-14.925431882293196	-21.251657090513618
G2RC	7	4.29326710952251	-44.703674566677364	-40.29355878465867	-44.50420239386585
G2RC	8	7.859202125725375	-51.36296143531217	-43.807597175386036	-48.455825974277104
G2RC	9	-12.378131740628575	-65.98710496519925	-82.12697457546892	-75.76660770479066
G2RC	10	11.948381315586758	-110.79455588797282	-99.28684624144807	-106.18846165949071
G2RC	11	18.695393167443683	-160.36383590911282	-141.06953497056384	-152.55756444498547
BH76RC	0	0.030979139150488777	-14.501828516280511	-13.989180097094504	-12.31278411421954
FH51	0	-3.5177557073733396	-152.41916214767843	-156.6526314355433	-151.49734648579033
FH51	1	-1.7762850226194473	-150.00572827033466	-151.9831012833747	-146.37919419707032
FH51	2	-0.6616210607010657	-87.75664299307391	-88.3058544692467	-87.55518297071103
FH51	3	-1.2435601175791362	-73.61303096692427	-73.24668550959905	-74.49209172013798
FH51	4	-1.202518633997613	-40.28543212352088	-41.91632433849736	-48.18356207056786
FH51	5	-2.434160467275774	-66.59745088726049	-70.20225236820988	-66.41728760593105
FH51	6	-2.911686941755761	-53.07234603562392	-55.83576366180205	-53.83526287207496
FH51	7	-0.2600492503536316	-56.16226680227555	-55.668722032685764	-56.05401201939094
FH51	8	1.1716013607036189	-53.10860930089257	-52.28110118964105	-56.61333339411067
FH51	9	3.5199706247960876	-41.737987480533775	-38.11399010641617	-41.14987918434781
FH51	10	3.083659377485418	-39.626273194444366	-36.71912389685167	-38.95249134868209
FH51	11	2.885279020120606	-38.28252377579338	-35.23599670470867	-37.54295840670238
FH51	12	5.635180963173809	-44.977218350279145	-38.927133583056275	-41.25279075669823
FH51	13	0.9889550557853681	-29.642785263888072	-28.825250991882058	-31.744781686691567
FH51	14	5.663165037126561	-36.89309532643529	-30.728418640996097	-37.56887424614979
FH51	15	0.2578361730449217	-23.423622590024024	-23.19430269431905	-25.297514426580165
FH51	16	1.4741342825685706	-23.676035670971032	-22.24672108894447	-24.040296423016116
FH51	17	-0.7288060960569851	-13.524170885124477	-13.77920599040226	-14.059944774839096
FH51	18	-0.7564792140454131	-18.07851414795732	-17.94248020494706	-18.54121726984158
FH51	19	0.09792003666632354	-12.626267070590984	-13.11791392811574	-16.687109379447065
FH51	20	-0.40160204987574843	-15.138002646301175	-18.634348714491352	-20.52948886435479
FH51	21	7.388859682473992	-22.527296140993712	-14.885621850640746	-23.502108057087753
FH51	22	10.508053615730603	-23.85119012472569	-13.26345818626578	-19.109006607090123
FH51	23	-1.7011908362327688	-14.765587560017593	-18.63285898041795	-19.51298514715745
FH51	24	0.07936108377623441	-13.94772812933661	-13.542967824731022	-14.236130050878273
FH51	25	-0.7166811380755291	-12.507249765651068	-13.412023422366474	-13.016019341477659
FH51	26	1.4970368648825456	-8.700098111585248	-6.454185530135874	-10.4939132790023
FH51	27	-0.6566834298729418	-10.2198298703006	-12.233286273665726	-10.655166622222168
FH51	28	-7.7281246689142336	-0.23155910905916244	-7.548692741547711	-4.049726955068763
FH51	29	10.446521355484776	-15.200666029879358	-4.676254710648209	-11.189266290573869
FH51	30	-0.27521087806212563	-11.782867693138542	-12.630314258509316	-13.406398868828546
FH51	31	-0.736394229832797	-2.4195081184152514	-2.56705175654497	-2.8686514311120845
FH51	32	-0.18311679490548727	-6.2193748341233	-7.137622974725673	-5.634105334727792
FH51	33	2.716211438379503	-3.5617052710731514	-1.347164737933781	-2.9453335358412005
FH51	34	-0.2887765711531074	-2.986534139752621	-3.6618218622752465	-2.3799771235790104
FH51	35	1.5312448520047326	-3.8832710727874655	-2.6089003718225285	-2.75294797756942
FH51	36	0.518214715932146	-2.849658473904128	-2.640364663777291	-3.084097889397526
FH51	37	-1.8013130742631347	8.044183851161506	6.129471915483009	4.8277233140252065
FH51	38	0.19838035736481174	-1.3437494186509866	-1.4831271921430016	-1.4095329419797054
FH51	39	-0.10509501397541499	-0.8656185545842163	-1.3201258326880634	-0.7470117337070405
FH51	40	0.09947970742496182	-1.4064381692151073	-3.0777792028093245	-2.172262985142879
FH51	41	-2.0936520673292875	0.20569400367094204	-2.026910132408375	1.3936716549214907
FH51	42	-0.18539479837360773	-1.1673934920108877	-2.8411674505623523	-1.952384221891407
TAUT15	0	-3.793948802343948	6.195271581469569	2.2435234722215682	2.025072178686969
TAUT15	1	-5.7096888033110815	8.562394559412496	4.018617800989887	4.007437876687618
TAUT15	2	0.35000128088069005	-6.22395703496295	-6.505286178435199	-8.753548665583367
TAUT15	3	-3.668173530495068	7.27239779260708	3.538904959190404	3.320096221723361
TAUT15	4	-2.386600148451606	15.10310458636377	13.394796930049779	13.997274473018479
TAUT15	5	2.1655206262974502	-0.799772766768001	0.8959390258823987	-0.753330420324346
TAUT15	6	2.9394125126734707	-1.248563247761922	0.20676402939716354	-1.5210024143161718
TAUT15	7	0.7255515925112945	0.9895847286097705	1.8948426642164122	0.7939568078436423
TAUT15	8	1.3198303842285668	-0.996438428061083	-0.23358155001187697	-1.7907227007090114
TAUT15	9	2.2416994038439952	-1.8030579760670662	-0.8225707725505345	-2.2355144215980545
TAUT15	10	0.6674492035534172	2.5642683059559204	2.4705049926415086	2.785858187940903
TAUT15	11	-0.16501207206809454	1.8665700008277781	1.6531183104088996	2.4435006787534803
TAUT15	12	-0.07189297578005949	0.6154723600775469	0.6798514746478759	0.5845177140145097
